主考院校,序号,专业代码,专业名称,专业层次,专业状态
北京大学,1,01A0701,心理学（专科）,专科,停止注册
,2,01B0701,心理学（独立本科段）,本科,停止注册
,3,01C0505,日语（基础科）（专科）,专科,停止注册
,4,01C1505,日语（本科）,本科,停止注册
,5,01B0103,护理学（独立本科段）,本科,停止报考
中国人民大学,6,01A0201,工商企业管理（专科）,专科,正常
,7,01B0201,工商企业管理（独立本科段）,本科,正常
,8,01A0203,会计（专科）,专科,正常
,9,01B0203,会计（独立本科段）,本科,正常
,10,01A0302,行政管理（专科）,专科,正常
,11,01B0302,行政管理学（独立本科段）,本科,正常
,12,01B0211,经济学（独立本科段）,本科,停止注册
,13,01C0204,商务管理（基础科）（专科）,专科,正常
,14,01C1204,商务管理（本科）,本科,正常
,15,01C0503,新闻学（基础科）（专科）,专科,正常
,16,01C1503,新闻学（本科）,本科,正常
北京师范大学,17,01B0502,秘书学（独立本科段）,本科,停止注册
,18,01B0220,文化产业（独立本科段）,本科,停止注册
北京理工大学,19,01A0001,财务管理（专科）,专科,正常
,20,01B0001,财务管理（专升本）,本科,正常
,21,01B0002,教育技术学（专升本）,本科,正常
,22,01B0003,汽车服务工程（专升本）,本科,正常
,23,01B0004,信息管理与信息系统（专升本）,本科,正常
,24,01A0221,人力资源管理（专科）,专科,正常
,25,01B0223,人力资源管理（独立本科段）,本科,正常
,26,01A0224,城市公共交通营运管理（专科）,专科,正常
,27,01B0226,企业管理（公共交通方向）（独立本科段）,本科,正常
,28,01B0301,法律（独立本科段）,本科,正常
,29,01C0301,法律（基础科）（专科）,专科,正常
,30,01C1301,法律（本科）,本科,正常
北京外国语大学,31,01C0502,英语（基础科）（专科）,专科,停止注册
,32,01C1502,英语（本科）,本科,正常
北京邮电大学,33,01A0801,计算机及应用（专科）,专科,正常
,34,01B0801,计算机及应用（独立本科段）,本科,正常
,35,01B0802,计算机网络（独立本科段）,本科,正常
,36,01B0809,计算机通信工程（独立本科段）,本科,停止注册
,37,01B0810,计算机信息管理（独立本科段）,本科,正常
,38,01B0019,工程管理（项目管理方向）（专升本）,本科,正常
对外经济贸易大学,39,01C0203,金融管理（基础科）（专科）,专科,正常
,40,01C1203,金融管理（本科）,本科,正常
,41,01A0206,国际贸易（专科）,专科,停止注册
,42,01B0206,国际贸易（独立本科段）,本科,停止注册
中国传媒大学,43,01B0507,摄影（独立本科段）,本科,停止注册
,44,01A0508,广播电视编导（专科）,专科,停止注册
,45,01B0508,广播电视编导（独立本科段）,本科,正常
,46,01B0509,播音与主持（独立本科段）,本科,正常
,47,01B0510,动画（独立本科段）,本科,正常
,48,01C0501,汉语言文学（基础科）（专科）,专科,正常
,49,01C1501,汉语言文学（本科）,本科,正常
北京中医药大学,50,01C0102,中药学（基础科）（专科）,专科,正常
北京协和医学院,51,01A0103,护理学（专科）,专科,停止注册
,52,01B0103,护理学（独立本科段）,本科,停止报考
首都医科大学,53,01A0103,护理学（专科）,专科,停止注册
首都师范大学,54,01C1504,中国书法（本科）,本科,停止注册
北京建筑大学,55,01B0803,建筑工程（独立本科段）,本科,停止注册
,56,01A0222,能源管理（专科）,专科,正常
,57,01B0224,能源管理（独立本科段）,本科,正常
北京联合大学,58,01B0221,酒店管理（独立本科段）,本科,正常
,59,01B0501,广告学（独立本科段）,本科,正常
,60,01B0402,学前教育（独立本科段）,本科,正常
,61,01B0225,物业管理（独立本科段）,本科,停止注册
北京财贸职业学院,62,01A0223,连锁经营管理（专科）,专科,正常
,63,01A0505,室内设计（专科）,专科,正常
北京北大方正软件技术学院,64,01A0820,网络传媒设计（专科）,专科,正常
,65,01A0402,学前教育（专科）,专科,正常
北京农业职业学院,66,01A0903,现代农村经济管理（合作社方向）（专科）,专科,正常
北京石油化工学院,67,01B0836,安全工程（独立本科段）,本科,正常
北京物资学院,68,01B0209,采购与供应管理（独立本科段）,本科,正常
,,,,,注：公布期间专业可能会出现调整，具体信息以自考网站“信息发布台”信息为准
