序号,各区名称,地址,联系电话
1,东城区,东城区和平里中街37号,64215323
2,西城区,西直门内大街186号（西城区教育考试中心）,66560135
3,朝阳区,朝阳区团结湖南路1号(朝阳区招生考试中心院内，大门面向水碓子东路)             (www.cyks.org.cn),85967042
4,海淀区,海淀区知春里31号（www.hdks.com.cn）,62586720
5,丰台区,丰台区望园西里4号,63806952
6,石景山区,石景山区八角北路51号院2号楼,68875813
7,通州区,通州区葛布店北里9号楼,51263550-121/122
8,房山区,房山区拱辰街道学园路北街11号北（房山区教育大厦4层）,89310002
9,怀柔区,怀柔区迎宾北路7号,69622278
10,昌平区,昌平城北镇三街财神庙胡同三街小学东侧,69745173
11,门头沟区,门头沟区城子桥东街17号（进校西楼）,69843555
12,燕山,燕山迎风一巷二号,69345923
13,顺义区,顺义区裕龙三街一号院（顺义区教育考试中心）,69447801
14,平谷区,平谷区建设西街1号,69969954
15,密云区,密云县新南路103号（考试中心）,69043256
16,大兴区,黄村镇兴丰大街三段5号(儿童乐园东门）,69290253
17,延庆区,延庆镇庆园街80号,51054606
18,考试院自考办,北京市海淀区志新东路9号,82837100 转6
