标题,主题,内容
关于推迟我省上半年高等教育自学考试新生注册报名工作的公告.txt,"[{'考试': 1.0}, {'工作': 0.8071121371310392}, {'疫情': 0.5348497731909788}, {'考生': 0.5248718376054533}, {'招生': 0.5073527806162005}]","　　关于推迟我省上半年高等教育自学考试新生注册报名工作的公告
　　为贯彻落实党中央、国务院、教育部以及省委省政府关于做好新型冠状病毒疫情防控工作的各项要求，切实做好疫情防控工作，减少人员流动、聚集存在的疫情扩散风险，保障考生和考试工作人员身体健康和生命安全，经省招生考试委员会办公室研究决定，推迟原定于2月26日开始进行的上半年全省高等教育自学考试新生注册报名工作，具体时间另行通知，请广大考生持续密切关注黑龙江省招生考试信息港的相关后续信息。
　　感谢广大考生对有关工作调整安排的理解和支持。
　　                                                黑龙江省招生考试委员会办公室
　　                                                                    2020年2月18日
"
教育部考试中心《关于延期开展2020年上半年自考转考工作的公告》.txt,"[{'转考': 1.0}, {'工作': 0.829238731110262}, {'开展': 0.7250283432161758}, {'考试': 0.7011896718996106}, {'研究': 0.5804682490304476}]","　　教育部考试中心《关于延期开展2020年上半年自考转考工作的公告》
　　为确保广大考试工作人员和考生的身体健康和生命安全，切实做好疫情防控，经研究决定，延期开展2020年上半年自学考试转考相关工作，恢复办理转考的时间另行通知。
　　                                            教育部考试中心
　　                                                 2020年2月18日
"
关于做好2020年4月自学考试工作的通知.txt,"[{'报名': 1.0}, {'考生': 0.5721582600901096}, {'考试': 0.3910670426176634}, {'报考': 0.2554474051241451}, {'自学': 0.18741973446394408}]","关于做好2020年4月自学考试工作的通知
　　为了使广大考生报名更好的了解和参加我省2020年4月自学考试，现将有关事宜通知如下。
　　一、考试时间
　　2020年上半年自学考试全国统考时间：4月11日-12日
　　科目考试时间:上午9:00-11:30，下午14:30-17:00
　　二、开考专业及课程
　　开考专业及课程详见“黑龙江招生考试信息港”网站。
　　三、考区设置
　　全省共设自学考试考区9个，即哈尔滨市、齐齐哈尔市、牡丹江市、佳木斯市、大庆市、绥化市、黑河市、七台河市、鸡西市。大兴安岭地区及所属县区考生报名并入齐齐哈尔市考区；鹤岗市、双鸭山市及所属县区考生报名并入佳木斯市考区；伊春市及所属县区考生报名并入绥化市考区。大兴安岭地区、鹤岗市、双鸭山市、伊春市及所属县区考生报名到并入考区参加考试。
　　四、报名、报考时间
　　（一）新生注册报名时间：2020年2月26日－3月6日。
　　（二） 在籍考生报名网上报考课程时间:2020年1月10日－3月12日(凡新生注册报名获得准考证号的考生报名即为在籍考生报名)。
　　（三）受理新生报名点：各市地及县市区招考院(办)。地址、联系电话详见附件。
　　（四）实践环节报名及考试：按照“黑龙江招生考试信息港自考频道”网上发布的《黑龙江省2020年自学考试实践环节考核和技能课考试开考计划》要求执行。考生报名咨询可直接与相关主考学校成教院自考办联系。
　　（五）查询成绩可于2020年5月13日后，登录“黑龙江招生考试信息港自考频道”查询。
　　五、报名及报考条件
　　自学考试报名工作（含本科二学历）由各地市招考院(办)负责受理、统一安排考点考场、统一考务管理。各地市招考院(办)及各有关高校需按要求做好考生报名报名及报考组织管理工作。护理学专业新生报名须交验执业证书。
　　（一）报名、报考条件及方法
　　　　考试实行网上报考和网上缴费，网站为黑龙江招生考试信息港自考频道（www.lzk.hl.cn/zk）。
　　1.新生首次报名。首次报名参加自学考试的考生报名，要在2020年2月26日－3月6日期间，需本人到考生报名所在地的市县区招考院(办)现场采集自然信息（须持二代身份证）注册报名，获得自学考试准考证号，在2020年3月12日之前登陆网站查询信息、报考课程、在线缴费。
　　新生报名时不得在“考生报名联系电话”一栏留取助学单位等非本人联系电话，应予当场验证后办理报名手续。
　　报考专科层次的考生报名可现场获得准考证号并按规定时间直接进行网上课程报考。报考本科层次的考生报名须符合以下三个条件之一方可报考：A.持有国家承认的国民教育系列专科（或专科以上）学历层次的毕业证书（凭毕业证书原件办理资格审查)。B.参加我省自学考试专科专业考试且有五科以上合格成绩的在籍考生报名。C.普通高校、成人高校在读学生（凭有效验证期内的“教育部学籍在线验证报告”办理资格审查）。资格审查通过后方可发放准考证号，由考生报名上网进行课程报考(具体工作由各地市招考院(办)安排)。资格审查表需由受理报名招考院(办)专人负责，签字长期存档。
　　2.在籍考生报名报考。在籍考生报名是指已获得自学考试准考证号的考生报名，可直接通过网上报考课程。其中2004年10月前已取得合格成绩，之后再没有参加过考试的考生报名按新生报名。
　　3.自2015年起，我省自考本科二学历新生信息采集报名工作全部归所属地市招考院(办)受理,由地市招考院(办)受理各主考学校组织的集体报名、统一安排考点考场、统一组织管理考试。
　　网上报考省统考课程系统已专门为本科二学历考生报名开设单独报考窗口，凡报考省统考课程的本科二学历考生报名（在籍老考生报名持原准考证号码即可），可由高校决定组织集体或由考生报名个人通过网上选课缴费报考。
　　4.护理学专业新生报名办法：根据教育部、卫生部《关于举办高等医学教育的若干意见》（教高〔2002〕10号）精神，从2017年上半年开始，护理学专业（专、本科）新生报名时，必须持有由国家卫计委（或原卫生部）颁发的《护士执业证书》。须持《护士执业证书》原件、复印件，到首次报名招考院(办)交验备案，同时本人签署《〈护士执业证书〉真实有效承诺书》（一式两份，地市招考院(办)、考生报名本人各执一份）。
　　5.助学单位集体报名、报考。受理经省招考院备案的助学单位组织的考生报名集体报名时，须由考生报名本人签字确认报名信息，并留存助学单位联系人能够及时联系到的电话。
　　6.跨考区报名的考生报名按新生报名程序重新注册，获得新的准考证号，如报本科专业须重新审查本科资格。取得一科合格成绩后即可在规定时间内办理合档。为便于及时与考生报名沟通，要求考生报名登陆网报系统后必须在“考生报名联系方式”一栏填写正在使用的移动电话号码，以便有特殊情况时能及时取得联系。
　　7.报名时采集的自然信息也是自学考试毕业证书上的毕业信息，一经确认不予更改。
　　（二）网上缴费办法
　　1.报考自学考试的考生报名需在网上报考课程的同时通过网上缴费,网上缴费支持中国农业银行账户或其它具有银联标识的银行卡。报考费每生每科45元。
　　六、打印准考证
　　考试由考生报名本人（新报名考生报名和原在籍考生报名）登录“黑龙江招生考试信息港自考频道”，打印统一格式的准考证。准考证信息含：考生报名基本信息，本次考试的时间、课程、地点、考场、座位，以及提醒考生报名注意事项等。
　　考生报名可于2020年4月6日起上网打印准考证。考生报名必须携带二代身份证和网上打印的准考证（两证）参加考试。
　　七、资格审查及考籍工作
　　报名资格审查工作由地市招考院(办)负责，省招生考试院审定。新生报名期间，不办理课程免考。
　　1.资格审查。首次报名参加本科自学考试的考生报名须交验相关证书证明等材料，资格审查合格方可发放准考证号。
　　2.省际间转考、合档和省内市（地）间转考、合档。省际间转考：由受理报名的招考院(办)办理考生报名转往外省考籍档案事宜，并同时办理外省转入我省考籍档案的合档事宜。
　　市（地）招考院(办)受理考生报名办理省际间转出的时间截止到：2020年3月5日，受理考生报名办理省际间转入合档的时间截止到：2020年3月28日。该时间是根据国家统一平台管理确定的。
　　3.网上申请毕业时间。2020年上半年网上申请毕业的具体时间，以及办理毕业证书具体安排，将在上半年考试公布成绩后通知。证书验印工作结束后10个工作日内，由受理报名的市、县（区）招考院(办)负责向考生报名本人发放自学考试毕业证书。
　　附件： 2020年4月自学考试新生报名注册地点
"
关于内蒙古高等教育自学考试专业调整工作的通知.txt,[],
关于做好2020年上半年高等教育自学考试网上报名工作的通知.txt,"[{'考试': 1.0}, {'考生': 0.5371364460177873}, {'报名': 0.32864193636511035}, {'招生': 0.2860425007168531}, {'课程': 0.2523929790220198}]","各盟市教育招生考试中心： 
2020年上半年高等教育自学考试网上报名、选课、缴费工作将于12月23日开始。现将有关事项通知如下：
一、报名时间
网上选课、缴费时间：12月23日9时—12月27日17时，逾期不予办理。
二、报名对象
本次考试网上报名、选课、缴费对象均为在籍考生。  
三、报名办法
    报名工作按照《内蒙古自治区高等教育自学考试网上报名实施办法（试行）》相关规定执行。
四、工作要求
（一）所有在籍考生在选课时，须认真阅读《国家教育考试违规处理办法》（节选）、《考生诚信考试承诺书》和《刑法修正案（九）》有关考试作弊入刑的条款。凡网上选课、缴费成功的考生，均视为已知晓并同意相关规定和要求。
（二）2015年之后（2015年参加考试的不需要采集）未参加过自学考试的在籍考生，须本人携带二代居民身份证到自治区任意旗县（市、区）教育招生考试机构进行指静脉信息采集和现场照相。采集照片时须设置背景为蓝色，勿添加带“年份、考试名称”的前景和带“旗县（市、区）”字样的背景。
五、英语专业“口语、听力”（专科）、“口译与听力”（本科）考试
 （一）2020年高等教育自学考试英语专业“口语（00594）、听力（00593） ”（专科），“口译（08681）、听力（08682）”（本科）考试网上报名、网上缴费时间和操作流程与报考其他课程相同。
（二）考试地点：内蒙古大学北校区（详细地址见准考证）。
（三）考试时间：本、专科听力考试时间：2020年5月9日（上午9:00 - 9:40)；本、专科口语和口译考试时间：2020年5月9日（下午14:30开始）。
（四）收费标准：每科60元。
（五）考生在考前一周登录内蒙古招生考试信息网打印准考证。
（六）成绩查询:登录内蒙古招生考试信息网自学考试栏目进行查询。
六、其他
（一）本次考试我区设置呼和浩特一个考区。不设立考点的盟市要继续做好考生信息采集、免考材料提交、毕业初审、提供试卷和证书发放等各项工作，确保自学考试的日常工作正常进行。
（二）自本次考试开始，不再统一组织考生到协作省份参加考试。若我区开考课程不能满足考生需求，考生可自行选择到其他省份报名参加考试，考试结束后按照国家及自治区转考规定，办理转考手续，将区外取得的合格成绩转入我区。
（三）2021年下半年之后，国家开考专业目录及课程计划将进行调整，请考生尽快完成所报考专业计划中规定的课程并及时申请毕业。
（四）本次考试，对部分课程教材进行调整，请考生及时认真了解报考课程的使用教材。
（五）考生可在网上申请实践性环节考核，包括实验、实习、课程设计、毕业论文（设计）和其他专门技能等。凡未在网上办理报名、缴费事宜的考生，考核结果将无法记入成绩数据库。
（六）本次报名不受理免考、转考申请。申请免考、转考的时间为每年3月和9月上旬，具体时间见内蒙古招生考试信息网。
                                                   内蒙古自治区教育招生考试中心
                                                                  2019年12月13日
"
内蒙古高等教育自学考试关于停考“070406 生物科学（本科）”等四个专业的通知.txt,[],
关于推迟开展2020年上半年高等教育自学考试转考、免考及实践环节考核等工作的公告.txt,"[{'工作': 1.0}, {'考试': 0.8929256200259194}, {'防控': 0.8427921470864561}, {'疫情': 0.8382656066083911}, {'精神': 0.6461545650963728}]","    根据党中央、国务院和自治区党委、政府关于新型冠状病毒感染的肺炎疫情防控工作有关精神和教育部相关通知要求，我区原定于3月上旬进行的自学考试转考、免考、实践环节考核等工作将推迟开展，具体时间根据疫情防控情况另行通知。
                    内蒙古自治教育招生考试中心
                     2020年2月19日
"
关于我区2020年4月全国高等教育自学考试延期举行的通知.txt,"[{'考试': 1.0}, {'考生': 0.6594522050818156}, {'疫情': 0.6176198983536072}, {'防控': 0.5238542387614088}, {'参加考试': 0.46152695836356766}]","根据国家及自治区关于新冠肺炎疫情防控工作部署要求，为保障考生、考试工作人员的身体健康和生命安全，根据教育部的有关公告，对原定于2020年4月11日至12日举行的全国高等教育自学考试推迟举行，具体考试时间将根据疫情防控进展情况另行通知。
新的考试时间公布后，考生可以自主选择是否继续参加考试。如不继续参加考试，报名费将全额退还。请已经报考的考生密切关注内蒙古自治区招生考试信息网（https://www.nm.zsks.cn/）发布的相关信息。
                                  内蒙古自治区教育招生考试中心
                                  2020年2月28日
"
青海省2020年上半年高等教育自学考试报名报考温馨提示.txt,"[{'考试': 1.0}, {'考生': 0.7899760402935707}, {'报考': 0.485838469181249}, {'注册': 0.44778232314693434}, {'青海省': 0.4189608228052117}]","各位考生：
根据教育部《关于2020年4月全国高等教育自学考试延期举行的公告》，原定于2020年4月11日至12日举行的全国高等教育自学考试推迟举行。考生登录网报系统后按照系统设置的考试日期及课程时间安排进行报考，考试时间及报考的课程不变，具体考试日期请广大考生密切关注“青海省教育考试网”、“青海省教育招生考试”微信公众号发布的最新自学考试日期安排。
请各位考生诚信报名报考，新注册考生认真核对身份证号、姓名、民族、性别等关键信息，提前按要求准备好注册用的电子照片。
感谢广大考生的理解和支持！
                  青海省教育招生考试院
                    2020年2月28日
"
2020年4月份上海自考考试时间.txt,"[{'进行': 1.0}, {'考生': 0.8456961380033438}, {'问题': 0.6989591790700321}, {'老师': 0.6138326484363333}, {'答惑': 0.5774785836860086}]","　　【第一周】
　　2020年4月11日(星期六)上午9∶00—11∶30 下午2∶30—5∶00
　　2020年4月12日(星期日)上午9∶00—11∶30 下午2∶30—5∶00
　　【第二周】
　　2020年4月18日(星期六)上午9∶00—11∶30 下午2∶30—5∶00
　　2020年4月19日(星期日)上午9∶00—11∶30 下午2∶30—5∶00
　　若还有什么问题不是很清楚，可是加入【微信交流群】与其他考生进行交流，群里会有专业老师进行解答;也可直接【点击咨询】在线老师，会为各位考生就学历提升问题解疑答惑;关注【微信公众号】届时会及时通知各位考生进行报名、打印准考证，考试等等重要时间点!
"
